id,title,city,experience,employment,schedule,salary_from,salary_to,salary_currency,has_salary,salary_gross,is_premium,employer_trusted,has_address,role_id,published_weekday,published_hour,title_word_count
133679362,Creative Manager,Москва,between3And6,,,,,,0,0,0,1,0,176,5,20,2
133679360,Смм специалист / Рилсмейкер,Москва,between3And6,,,60000.0,100000.0,RUR,1,0,0,1,1,3,5,20,4
133625636,Оператор вакуумной упаковки,Москва,noExperience,,,,,,0,0,1,1,0,85,5,20,3
133679345,Парикмахер-Стилист,Москва,between3And6,,,80000.0,,RUR,1,0,0,1,1,92,5,20,1
133679341,Медицинская сестра/медицинский брат ООПП в ДС ПНД 3,Москва,between1And3,,,70000.0,,RUR,1,0,0,1,1,64,5,20,8
133679314,Машинист Бульдозера,Москва,between3And6,,,7000.0,,RUR,1,0,0,1,1,63,5,20,2
133679312,Менеджер-адмнистратор барбершопа,Москва,noExperience,,,80000.0,100000.0,RUR,1,0,0,1,1,8,5,20,2
133091203,Производитель работ (теплосеть),Москва,between3And6,,,,,,0,0,0,1,1,100,5,20,3
133148928,Разнорабочий / подсобный рабочий,Москва,noExperience,,,,113000.0,RUR,1,0,0,1,1,102,5,20,4
133679309,Бармен в ресторан Амели,Москва,noExperience,,,130000.0,200000.0,RUR,1,0,0,1,0,40,5,20,4
133679308,VIP менеджер со знанием польского языка,Москва,noExperience,,,150000.0,,RUR,1,0,0,1,1,40,5,20,6
133624131,Оператор вспомогательного оборудования,Москва,noExperience,,,,,,0,0,1,1,0,85,5,20,3
133679285,Бармен,Москва,between1And3,,,5000.0,7000.0,RUR,1,0,0,1,1,89,5,20,1
133679274,VIP менеджер со знанием итальянского языка,Москва,between3And6,,,150000.0,,RUR,1,0,0,1,1,72,5,20,6
132033748,"Специалист по клиническому применению (оборудование лабораторной диагностики, женское здоровье)",Москва,between1And3,,,,,,0,0,0,1,1,24,5,20,9
131355907,"Менеджер по продукту (RX, OTC)",Москва,between1And3,,,,,,0,0,0,1,1,73,5,20,5
131506487,"Менеджер по продукту оригинальный препарат (Госпитальный рынок, кадиология / ревматология)",Москва,between3And6,,,,,,0,0,0,1,1,65,5,20,10
131798055,Менеджер по продукту (КДЛ),Москва,between1And3,,,,,,0,0,0,1,1,79,5,20,4
131798158,Менеджер по развитию бизнеса (Розничный бизнес),Москва,noExperience,,,,,,0,0,0,1,1,71,5,20,6
131798267,Менеджер по продукту (орфанные заболевания),Москва,between3And6,,,,,,0,0,0,1,1,73,5,20,5
131798277,Менеджер по продукту (онкология),Москва,between3And6,,,,,,0,0,0,1,0,73,5,20,4
133679270,Оператор LED-экранов,Москва,between1And3,,,60000.0,90000.0,RUR,1,0,0,1,1,40,5,20,2
133679268,Специалист по набору объектов недвижимости,Москва,noExperience,,,,,,0,0,0,1,0,6,5,19,5
133679267,VIP менеджер со знанием французского языка,Москва,between3And6,,,150000.0,,RUR,1,0,0,1,1,40,5,19,6
133679266,Домработница/Домработник,Москва,between3And6,,,180000.0,180000.0,RUR,1,0,0,1,1,130,5,19,1
133679265,Хостес в ресторан (Novikov Group),Москва,between1And3,,,5000.0,,RUR,1,0,0,1,1,140,5,19,5
133679264,Инструктор тренажёрного зала,Москва,noExperience,,,,,,0,0,0,1,1,138,5,19,3
133679235,Администратор фитнес-клуба,Москва,noExperience,,,60000.0,,RUR,1,0,0,1,1,8,5,19,2
133430602,"Помощник в департамент (СРОЧНО, БЕСПЛАТНОЕ ОБУЧЕНИЕ)",Москва,noExperience,,,300000.0,,RUR,1,0,0,1,1,70,5,19,6
133679233,Архитектор/дизайнер интерьеров,Москва,noExperience,,,90000.0,200000.0,RUR,1,0,1,1,1,14,5,19,2
129423459,Заместитель управляющего магазином (пр-д Дежнева),Москва,between1And3,,,109200.0,144900.0,RUR,1,1,0,1,1,9,5,19,5
133679232,Мастер ногтевого сервиса,Москва,between1And3,,,3000.0,8000.0,RUR,1,0,0,1,1,61,5,19,3
133679143,Дата-аналитик (антифрод) в Дзен,Москва,between3And6,,,,,,0,0,0,1,1,156,5,19,4
133679229,Повар-сушист (г. Москва),Москва,between1And3,,,96150.0,,RUR,1,0,0,1,1,94,5,19,3
133679228,Менеджер кафетерия/Бариста (г. Москва),Москва,noExperience,,,5500.0,,RUR,1,0,0,1,1,89,5,19,4
